ETH/USDT >> FUN/ETH >>  FUN/USDT
ETH/USDT >> CVC/ETH >>  CVC/USDT
ETH/USDT >> ETH/BUSD >>  BUSD/USDT
ETH/USDT >> XTZ/ETH >>  XTZ/USDT
ETH/USDT >> HC/ETH >>  HC/USDT
ETH/USDT >> KAVA/ETH >>  KAVA/USDT
ETH/USDT >> IOTX/ETH >>  IOTX/USDT
ETH/USDT >> RLC/ETH >>  RLC/USDT
ETH/USDT >> MCO/ETH >>  MCO/USDT
ETH/USDT >> FTT/ETH >>  FTT/USDT
ETH/USDT >> ETH/TRY >>  USDT/TRY
ETH/USDT >> ETH/RUB >>  USDT/RUB
ETH/USDT >> ETH/EUR >>  EUR/USDT
ETH/USDT >> BTS/ETH >>  BTS/USDT
ETH/USDT >> LSK/ETH >>  LSK/USDT
ETH/USDT >> BNT/ETH >>  BNT/USDT
ETH/USDT >> STRAT/ETH >>  STRAT/USDT
ETH/USDT >> AION/ETH >>  AION/USDT
ETH/USDT >> ETH/ZAR >>  USDT/ZAR
ETH/USDT >> WTC/ETH >>  WTC/USDT
ETH/USDT >> DATA/ETH >>  DATA/USDT
ETH/USDT >> XZC/ETH >>  XZC/USDT
ETH/USDT >> SOL/ETH >>  SOL/USDT
ETH/USDT >> CHR/ETH >>  CHR/USDT
ETH/USDT >> GXS/ETH >>  GXS/USDT
ETH/USDT >> ARDR/ETH >>  ARDR/USDT
ETH/USDT >> LEND/ETH >>  LEND/USDT
ETH/USDT >> STMX/ETH >>  STMX/USDT
ETH/USDT >> KNC/ETH >>  KNC/USDT
ETH/USDT >> LRC/ETH >>  LRC/USDT
ETH/USDT >> ETH/UAH >>  USDT/UAH
ETH/USDT >> ETH/BIDR >>  USDT/BIDR
ETH/USDT >> ETH/BKRW >>  BKRW/USDT
ETH/USDT >> SC/ETH >>  SC/USDT
ETH/USDT >> ZEN/ETH >>  ZEN/USDT
ETH/USDT >> SNX/ETH >>  SNX/USDT
ETH/USDT >> ETH/GBP >>  GBP/USDT
ETH/USDT >> ETH/DAI >>  DAI/USDT
ETH/USDT >> STORJ/ETH >>  STORJ/USDT
ETH/USDT >> ETH/BKRW >>  USDT/BKRW
ETH/USDT >> MANA/ETH >>  MANA/USDT
ETH/USDT >> ETH/AUD >>  AUD/USDT
ETH/USDT >> BLZ/ETH >>  BLZ/USDT
ETH/USDT >> KMD/ETH >>  KMD/USDT
ETH/USDT >> ETH/DAI >>  USDT/DAI
ETH/USDT >> CRV/ETH >>  CRV/USDT
ETH/USDT >> SAND/ETH >>  SAND/USDT
ETH/USDT >> DOT/ETH >>  DOT/USDT
ETH/USDT >> LUNA/ETH >>  LUNA/USDT
ETH/USDT >> KSM/ETH >>  KSM/USDT
ETH/USDT >> EGLD/ETH >>  EGLD/USDT
ETH/USDT >> RUNE/ETH >>  RUNE/USDT
ETH/USDT >> ETH/NGN >>  USDT/NGN
ETH/USDT >> BEL/ETH >>  BEL/USDT
ETH/USDT >> WING/ETH >>  WING/USDT
ETH/USDT >> UNI/ETH >>  UNI/USDT
ETH/USDT >> AVAX/ETH >>  AVAX/USDT
ETH/USDT >> ETH/BRL >>  USDT/BRL
ETH/USDT >> AAVE/ETH >>  AAVE/USDT
ETH/USDT >> NEAR/ETH >>  NEAR/USDT
ETH/USDT >> FIL/ETH >>  FIL/USDT
ETH/USDT >> AXS/ETH >>  AXS/USDT
ETH/USDT >> DNT/ETH >>  DNT/USDT
ETH/USDT >> STRAX/ETH >>  STRAX/USDT
ETH/USDT >> UNFI/ETH >>  UNFI/USDT
ETH/USDT >> ROSE/ETH >>  ROSE/USDT
ETH/USDT >> XEM/ETH >>  XEM/USDT
ETH/USDT >> SUSD/ETH >>  SUSD/USDT
